delay in departure,delay in arrival
None,None
None,15
8,None
5,None
14,None
14,None
21,11
21,11
25,10
22,2
19,1
19,1
6,None
6,None
27,12
23,14
15,None
2,None
1,None
22,2
12,2
13,None
12,None
14,None
18,12
41,1
9,None
2,None
2,None
6,11
47,10
5,None
22,None
22,None
22,None
30,None
15,None
11,None
11,None
20,6
9,None
6,4
31,4
14,None
14,None
14,None
14,None
14,None
21,None
41,25
25,None
25,None
25,None
8,None
29,7
29,7
18,None
1,None
1,None
1,None
3,None
3,None
8,None
None,None
25,7
11,None
11,None
11,None
11,None
11,None
11,None
11,None
11,None
11,None
11,8
15,None
38,1
11,None
9,None
6,None
4,None
1,None
5,None
21,None
15,None
50,7
46,8
28,None
27,14
21,None
21,None
17,None
17,None
21,1
3,None
14,None
19,7
1,None
40,None
25,1
15,None
6,8
17,None
10,None
3,None
44,7
6,None
6,None
19,None
3,None
3,None
3,None
3,None
26,None
34,None
26,None
33,None
34,8
30,None
40,4
27,None
48,12
10,None
8,None
10,None
37,None
None,None
13,None
20,None
22,None
8,None
15,None
13,None
17,None
40,16
1,None
13,None
26,12
38,None
13,14
28,None
31,8
13,None
28,None
6,12
14,None
12,9
15,None
13,None
6,None
20,1
20,None
33,None
13,None
26,12
28,4
22,None
5,None
5,None
5,None
5,None
5,None
5,None
11,None
None,None
35,None
10,None
10,None
21,None
None,None
None,None
None,None
None,None
None,None
20,3
12,None
27,2
27,2
70,15
2,None
2,None
14,None
21,None
26,None
53,9
53,9
18,None
58,10
58,10
17,None
None,None
22,None
5,None
11,None
1,None
40,16
40,16
None,None
44,11
None,None
1,None
None,None
7,None
24,3
24,3
24,3
24,3
5,None
19,None
None,None
23,6
8,7
8,7
31,9
None,None
25,5
30,None
23,None
26,None
27,None
22,2
34,1
34,1
34,1
33,None
15,None
10,None
21,13
21,13
10,None
15,None
None,None
38,None
38,None
38,None
38,None
7,None
14,None
7,None
15,None
14,None
2,None
2,None
17,2
17,2
17,2
20,None
32,None
14,None
None,None
None,None
12,None
1,None
1,None
1,None
1,None
1,None
17,2
10,None
10,None
10,None
10,None
9,None
7,None
22,8
15,8
15,8
15,8
23,7
31,15
14,None
9,None
13,8
7,None
7,None
21,4
18,9
11,16
29,None
52,1
52,1
15,None
29,None
30,1
25,None
25,None
36,2
44,10
17,None
17,None
17,None
17,None
17,None
17,None
17,None
17,None
17,None
17,None
17,None
None,None
31,8
1,None
10,None
23,6
23,6
23,6
23,6
None,None
3,None
15,1
15,1
15,1
15,1
11,None
11,None
2,None
2,None
4,None
9,None
9,None
9,None
39,3
41,9
10,None
10,None
17,None
27,9
15,None
15,None
22,2
16,None
26,1
3,None
35,16
25,3
21,None
31,1
24,3
5,None
5,None
5,None
5,None
2,None
1,None
1,None
1,None
None,None
28,7
13,None
13,None
13,None
None,None
19,6
4,None
22,None
21,None
42,13
27,None
14,3
14,3
14,3
8,3
15,None
None,None
26,7
23,10
23,None
23,None
23,None
12,None
10,None
1,None
2,None
25,None
25,None
40,12
40,12
17,None
17,None
17,None
10,None
13,None
13,None
27,None
6,None
1,None
31,None
7,1
None,None
9,None
None,None
23,10
23,10
23,10
23,10
29,None
29,None
29,None
5,None
13,None
34,None
None,None
36,1
36,1
36,1
36,1
36,1
36,1
None,None
43,2
13,None
13,None
13,None
5,None
23,None
20,None
21,None
23,None
18,1
15,None
16,None
11,None
33,6
19,None
1,None
33,6
25,None
13,None
None,None
5,None
40,None
5,None
9,None
1,None
1,None
19,None
41,None
None,None
None,None
16,None
16,None
7,None
13,None
20,None
20,None
20,None
20,None
20,None
20,None
20,None
19,None
None,None
9,None
10,None
18,1
18,1
18,1
13,None
13,None
13,None
5,None
5,None
None,None
None,None
20,1
15,None
15,None
15,None
15,None
11,None
36,None
18,None
1,None
24,None
8,None
20,8
2,None
2,None
2,None
2,None
2,None
2,None
2,None
2,None
11,None
53,15
53,15
6,None
32,3
6,None
6,None
6,None
15,None
15,None
1,None
None,None
9,None
9,None
31,12
3,None
3,None
11,None
33,5
32,5
32,5
32,5
32,5
32,5
32,5
13,None
10,None
9,None
9,None
25,None
25,None
21,None
21,None
21,None
13,None
13,None
6,None
6,None
1,None
14,None
None,None
None,None
None,None
6,None
6,None
4,3
15,None
3,None
3,None
5,None
5,None
5,None
None,None
7,None
10,None
10,None
10,None
10,None
17,None
17,None
17,None
17,None
17,None
7,None
9,None
21,None
36,None
4,None
4,None
7,None
13,None
29,4
14,None
13,None
13,None
13,None
13,None
12,None
17,None
22,None
23,None
23,None
23,None
23,None
15,None
15,None
15,None
15,None
27,None
13,None
13,None
20,None
20,None
None,None
5,None
None,None
11,None
11,None
11,None
11,None
10,None
3,None
32,14
1,None
None,None
13,None
2,None
1,None
26,None
26,None
26,None
17,None
17,None
17,None
17,None
7,None
18,6
27,1
27,1
22,12
22,12
22,12
22,12
22,12
22,12
17,None
17,None
17,None
3,None
21,None
21,None
10,None
41,None
22,12
8,None
8,None
8,None
8,None
8,None
8,None
23,11
25,None
35,None
10,None
16,None
32,None
1,None
9,None
3,None
39,18
13,1
18,6
21,None
None,None
19,4
31,3
None,None
43,15
8,None
17,None
16,None
7,None
21,None
21,None
21,None
21,None
21,None
19,None
19,None
11,None
16,None
31,None
None,None
20,None
21,3
21,3
21,3
59,7
20,10
38,None
49,1
20,None
40,6
15,None
11,None
31,None
31,None
21,3
15,None
9,None
30,1
None,None
None,None
28,3
33,3
105,None
14,None
20,None
27,2
27,2
23,None
28,None
12,None
12,None
12,None
12,None
12,None
24,None
43,7
24,None
2,None
17,None
32,None
41,None
16,None
None,None
25,2
1,None
4,None
18,14
9,None
9,None
9,None
24,3
4,None
23,None
22,None
4,None
19,None
30,None
25,None
18,None
25,None
25,None
15,None
15,None
8,None
8,None
8,None
9,None
9,None
21,None
21,None
15,1
1,None
4,None
4,None
4,None
13,None
16,None
7,None
19,4
25,1
35,None
32,None
17,3
32,1
11,None
7,None
48,11
48,11
48,11
9,None
25,2
25,2
25,2
25,2
25,2
25,2
25,2
8,None
20,2
1,None
10,None
19,None
13,None
13,None
13,None
14,None
1,None
1,None
16,2
16,2
16,None
16,None
7,None
7,None
7,None
1,None
43,7
15,None
20,None
20,None
10,None
13,None
15,14
8,None
16,None
23,None
25,8
29,3
38,4
34,None
23,None
36,None
39,None
24,None
31,7
32,None
46,7
35,None
20,7
28,1
19,5
20,2
10,None
22,None
37,16
21,None
21,None
43,14
43,14
38,11
38,11
31,None
23,3
None,None
22,9
9,7
22,None
39,None
21,None
35,None
54,3
29,None
14,None
35,2
35,11
14,None
21,None
9,None
39,11
32,None
9,None
41,7
3,None
11,None
4,None
13,None
3,None
11,None
12,None
27,None
27,None
35,None
18,None
3,None
4,None
14,None
7,None
22,None
4,None
6,None
26,5
35,None
35,None
7,4
6,None
41,None
2,None
10,None
2,None
21,None
34,8
None,None
16,1
13,11
13,11
13,11
24,None
13,None
9,None
7,None
10,None
54,3
21,None
4,None
16,None
16,None
15,None
15,None
45,1
45,1
9,None
12,2
None,None
6,None
None,10
35,None
2,None
26,None
15,None
31,None
40,None
9,None
35,2
29,3
6,None
6,None
13,None
13,None
13,None
13,None
None,None
29,None
13,None
18,None
11,None
None,None
26,None
1,None
25,12
19,None
19,None
19,None
19,None
19,None
24,2
28,None
9,None
18,None
12,None
12,None
12,None
12,None
12,None
10,None
10,None
24,5
24,5
24,5
24,5
11,3
11,3
11,3
19,None
19,None
24,6
3,None
1,None
10,None
20,None
15,None
3,None
3,None
None,13
3,None
11,None
11,None
17,None
17,None
15,None
15,None
38,14
7,None
27,5
53,4
53,4
16,None
16,None
24,None
29,None
29,None
16,None
18,None
22,None
39,8
22,None
22,None
22,None
22,None
4,None
4,None
4,None
None,None
42,None
10,None
63,None
18,None
20,None
6,None
28,None
28,None
32,12
32,12
32,12
34,5
3,None
3,None
3,None
3,None
3,None
3,None
1,None
18,None
22,None
14,None
10,None
26,None
7,None
20,None
12,None
1,None
19,40
1,None
22,9
22,9
22,9
22,9
22,9
None,None
None,None
14,5
None,None
22,9
22,9
22,9
22,9
22,9
26,13
26,13
12,None
35,14
40,None
20,None
16,1
37,None
23,None
35,14
17,None
22,None
17,None
31,None
17,2
17,2
2,4
35,5
15,10
15,10
13,None
13,None
7,None
1,None
18,2
16,None
16,None
16,None
28,None
3,None
33,2
11,None
14,None
15,3
11,None
16,None
17,2
31,2
31,None
31,None
31,None
28,None
21,9
10,None
10,None
12,None
10,None
9,None
11,4
20,None
4,None
1,None
1,None
18,6
2,None
15,None
16,None
16,None
30,None
38,9
38,9
12,None
12,None
12,None
12,None
12,None
20,5
23,8
8,None
8,None
29,11
6,None
22,None
18,None
17,None
16,None
36,8
34,None
21,5
14,None
28,1
18,None
18,None
18,None
18,None
15,None
7,None
7,None
8,3
8,3
17,None
19,9
19,9
19,9
16,6
16,6
3,None
12,None
2,None
11,None
21,6
23,5
4,None
13,None
13,None
13,None
2,None
25,None
None,None
4,None
7,None
6,None
16,None
12,None
1,None
17,None
19,13
27,2
10,13
9,None
25,None
17,None
9,None
18,1
7,8
None,None
18,1
16,None
18,1
11,None
23,5
20,None
3,None
19,None
19,None
4,None
23,5
18,None
18,None
35,6
35,6
13,None
11,None
19,3
26,13
19,8
19,8
19,8
6,None
7,None
36,3
2,None
11,None
30,None
10,None
13,None
14,None
9,None
None,None
16,None
16,None
16,None
16,None
None,9
8,None
11,1
6,None
27,8
5,None
4,None
13,None
16,None
17,None
31,1
22,None
None,None
None,None
17,None
19,None
16,None
1,None
2,None
11,None
25,10
18,None
13,None
5,None
12,None
6,None
6,None
22,None
17,None
15,None
4,None
6,None
5,None
8,None
14,None
2,None
7,None
4,None
6,None
8,None
13,None
1,None
None,None
12,None
20,None
12,None
12,None
27,None
9,7
9,7
9,7
39,15
11,None
9,None
6,None
6,None
6,None
6,None
1,None
13,None
20,None
9,None
15,None
2,None
2,None
27,None
10,None
22,3
22,3
22,3
22,3
11,None
35,11
35,11
35,11
35,11
35,11
19,2
19,2
11,None
30,8
11,None
30,8
30,5
30,5
30,5
17,None
17,None
7,None
None,None
25,1
30,4
21,1
23,1
26,5
3,None
20,None
3,None
11,None
13,None
21,None
13,None
6,None
14,None
24,None
12,None
23,None
1,None
14,None
40,None
40,None
40,None
40,None
40,None
24,1
31,7
25,None
7,None
4,None
23,None
21,None
20,None
8,None
9,17
9,17
9,17
9,17
9,17
8,None
None,4
7,None
19,None
None,None
2,None
2,None
2,None
25,None
25,None
24,12
2,None
10,None
6,None
17,None
21,None
10,None
10,None
11,None
22,7
9,None
16,6
None,None
2,None
18,None
24,2
None,None
None,None
None,None
14,None
18,None
15,None
12,None
2,None
5,None
2,None
8,None
9,None
13,None
5,None
27,None
23,None
15,None
12,None
32,None
20,None
16,None
18,None
21,None
21,None
26,None
26,5
32,7
24,2
24,2
18,None
21,None
21,None
21,None
21,None
21,None
21,None
5,None
3,None
3,None
3,None
3,None
27,4
27,4
27,4
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
26,7
37,None
15,None
15,None
15,None
4,None
5,None
5,None
5,None
5,None
5,None
26,None
None,None
16,None
40,7
24,None
44,None
19,None
19,None
19,None
6,None
6,None
3,None
14,None
19,None
7,None
17,None
17,None
17,None
17,None
17,None
17,None
15,3
15,3
15,3
15,3
14,6
14,6
10,None
10,None
9,None
9,None
9,None
8,None
5,None
5,None
5,None
28,15
28,15
19,None
14,None
28,15
28,15
28,15
28,15
28,15
7,None
4,None
17,2
25,11
12,None
12,None
12,None
12,None
1,None
24,None
24,None
8,None
2,None
26,12
22,None
25,None
5,None
9,None
18,None
18,None
8,None
18,None
18,None
18,None
18,None
18,None
39,7
6,None
2,None
17,None
3,None
3,None
7,None
11,None
15,None
20,None
7,None
18,None
1,None
19,2
4,None
14,None
3,None
13,None
25,None
15,5
21,None
2,None
15,None
16,None
3,None
23,None
23,None
23,None
24,11
24,11
24,11
24,11
24,11
24,11
1,None
13,None
38,None
27,None
18,2
18,2
18,2
11,None
11,None
4,None
9,None
21,None
36,5
12,6
7,3
7,3
7,3
7,3
13,16
27,11
4,None
4,None
11,11
11,11
11,11
11,11
11,11
None,None
None,None
None,None
None,None
21,3
None,None
10,None
18,None
21,None
19,4
3,None
None,None
33,None
2,None
17,None
21,7
17,None
18,1
18,3
35,None
18,None
23,None
23,None
12,None
12,None
40,6
20,9
None,12
None,None
27,4
35,14
31,None
15,None
15,None
15,None
15,None
None,None
24,11
24,11
9,None
7,None
24,11
24,11
24,11
24,11
1,None
9,None
20,None
11,None
33,6
13,None
21,None
None,None
1,None
9,3
None,None
7,None
16,None
5,None
12,None
24,11
24,11
24,11
12,None
1,None
17,7
1,None
12,None
24,11
20,None
15,None
15,None
7,None
1,None
